state,seed,ubvec_pop,ubvec_minority,num_mm,target_mm,max_minority_pct,edge_cut,success,runtime,error
MS,47,1.005,1.1,2,2,54.039259368126835,104,True,4.004120349884033,
MS,48,1.005,1.1,2,2,54.039259368126835,104,True,3.952157974243164,
MS,49,1.005,1.1,2,2,54.039259368126835,104,True,4.036917686462402,
MS,50,1.005,1.1,2,2,54.039259368126835,104,True,3.9323172569274902,
MS,51,1.005,1.1,2,2,54.039259368126835,104,True,3.9858171939849854,
MS,52,1.005,1.1,2,2,54.039259368126835,104,True,4.090061187744141,
MS,53,1.005,1.1,2,2,54.039259368126835,104,True,4.1118834018707275,
MS,54,1.005,1.1,2,2,54.039259368126835,104,True,4.0377888679504395,
MS,55,1.005,1.1,2,2,54.039259368126835,104,True,4.013465642929077,
MS,42,1.005,1.3,2,2,54.2503006571941,106,True,3.9599196910858154,
MS,43,1.005,1.3,2,2,54.2503006571941,106,True,3.8718273639678955,
MS,44,1.005,1.3,2,2,54.2503006571941,106,True,3.8041841983795166,
MS,45,1.005,1.3,2,2,54.2503006571941,106,True,3.9094135761260986,
MS,46,1.005,1.3,2,2,54.2503006571941,106,True,3.942328453063965,
MS,47,1.005,1.3,2,2,54.2503006571941,106,True,3.940202236175537,
MS,48,1.005,1.3,2,2,54.2503006571941,106,True,3.9568111896514893,
MS,49,1.005,1.3,2,2,54.2503006571941,106,True,3.915701150894165,
MS,50,1.005,1.3,2,2,54.2503006571941,106,True,3.9106717109680176,
MS,51,1.005,1.3,2,2,54.2503006571941,106,True,3.9370784759521484,
MS,52,1.005,1.3,2,2,54.2503006571941,106,True,3.93699312210083,
MS,53,1.005,1.3,2,2,54.2503006571941,106,True,3.9122841358184814,
MS,54,1.005,1.3,2,2,54.2503006571941,106,True,4.007449626922607,
MS,55,1.005,1.3,2,2,54.2503006571941,106,True,4.040048122406006,
MS,42,1.005,1.5,2,2,54.34616309313051,95,True,3.9302291870117188,
MS,43,1.005,1.5,2,2,54.34616309313051,95,True,3.9212305545806885,
